연번,경로당명칭,소재지,부지(㎡),건물(㎡),회원총계,남자회원,여자회원,전화번호,기준일자
51,서안경로당,대구광역시 서구 북비산로 229-4,153,174.8,48,14,34,053-564-7227,2017-11-10
52,평리경로당,대구광역시 서구 서대구로42길 67-1,215,94.87,24,0,24,053-551-9076,2017-11-10
53,만수경로당,대구광역시 서구 평리로57길 15 평리동서1차아파트,26.44,26.44,22,0,22,053-562-1842,2017-11-10
54,청수경로당,대구광역시 서구 국채보상로52길 27-35,118.7,120.4,55,5,50,053-554-2867,2017-11-10
55,평광경로당,대구광역시 서구 국채보상로50길 42-37,183.9,108.86,37,20,17,053-561-0608,2017-11-10
56,장수경로당,대구광역시 서구 평리로73길 11-15,165.8,151.46,56,21,35,053-559-1369,2017-11-10
57,평리청구타운경로당,대구광역시 서구 서구 서대구로 77 평리청구타운,100,100,31,1,30,053-563-8824,2017-11-10
58,평리푸르지오경로당,대구광역시 서구 국채보상로50길 20 평리푸르지오아파트,79,79,60,20,40,053-522-0095,2017-11-10
59,평리5동경로당,대구광역시 서구 당산로82길 28-18,1293.3,210.2,46,0,46,053-562-7017,2017-11-10
60,도기경로당,대구광역시 서구 국채보상로39길 9-2,191.3,113.66,54,5,49,053-566-4363,2017-11-10
61,광명경로당,대구광역시 서구 문화로37길 6 평리광명아파트,140.4,140.4,30,1,29,053-557-0085,2017-11-10
62,평리6동경로당,대구광역시 서구 당산로86길 5-8,174.4,185.69,43,14,29,053-561-3717,2017-11-10
63,복지경로당,대구광역시 서구 서대구로41길 10 종합가정복지관,63.66,63.66,40,13,27,053-566-7559,2017-11-10
64,새동네경로당,대구광역시 서구 북비산로31길 11-28,157,167.85,35,5,30,053-563-9259,2017-11-10
65,상리1동경로당,대구광역시 서구 새방로27길 4,233,256.08,59,10,49,053-563-2110,2017-11-10
66,상리2동경로당,대구광역시 서구 가르뱅이로 63-24,243,263.9,42,8,34,053-555-0977,2017-11-10
67,이현경로당,대구광역시 서구 북비산로 104-8,324,136,30,11,19,053-554-5147,2017-11-10
68,중리시영2차경로당,대구광역시 서구 국채보상로38길 32 중리시영2차아파트,35.07,35.07,22,7,18,053-565-2569,2017-11-10
69,꽃동네경로당,대구광역시 서구 평리로 221 꽃동네아파트,50.08,50.08,37,5,32,053-558-0512,2017-11-10
70,두견화경로당,대구광역시 서구 국채보상로36길 42 중리진달래1차아파트,42.69,42.69,20,0,20,053-555-0127,2017-11-10
71,중리경로당,대구광역시 서구 와룡로70길 66,583,193.8,62,20,42,053-565-7650,2017-11-10
72,진달래경로당,대구광역시 서구 국채보상로38길 22 중리진달래2차아파트,36.06,36.06,25,5,20,053-522-5145,2017-11-10
73,중리시영(아)경로당,대구광역시 서구 당산로 324 중리시영1차아파트,52.89,52.89,32,4,28,053-551-6386,2017-11-10
74,중리일송경로당,대구광역시 서구 당산로53길 110-4,124.5,119.8,31,6,25,053-565-3233,2017-11-10
75,중리상록경로당,대구광역시 서구 국채보상로36길 16-2,196.3,204.31,34,12,22,053-567-2152,2017-11-10
76,중리롯데캐슬경로당,대구광역시 서구 국채보상로34길 12,194.63,194.63,70,25,45,053-294-0221,2017-11-10
77,"원대1,2가제1경로당",대구광역시 서구 달서천로 405-3,200.28,224.8,35,35,0,053-354-8695,2017-11-10
78,"원대1,2가제2경로당",대구광역시 서구 달서천로86길 6-10,285.9,374.4,67,0,67,053-357-8561,2017-11-10
79,원대3가제1경로당,대구광역시 서구 고성로21길 6,262,122.85,30,7,23,053-354-7665,2017-11-10
80,원대3가제2경로당,대구광역시 서구 팔달로46길 4-2,238,263,40,10,30,053-355-1577,2017-11-10
81,금류타운경로당,대구광역시 서구 원대로13길 2 원대금류타운,84.39,84.39,27,8,19,053-359-1769,2017-11-10
