구분,시 설 명,입소정원,시설 소재지,전화번호
북구,호암요양원,23,"북구 호암로 30, 3, 4층 (칠성동)",053-477-7770
북구,행복한백세요양원,22,"북구 호암로 30, 5층 (칠성동)",053-353-0688
북구,대구케어실버타운복지센터,45,북구 침산남로 96. 7층 (침산동),053-341-3526
북구,성림효사랑실버타운,41,북구 신천동로 740 (대현동),053-958-8884
북구,강북실버타운,54,북구 칠곡중앙대로 525 (읍내동),053-322-8801  
북구,일심노인복지센터,20,북구 대천로 49-8 (읍내동),053-313-5300
북구,행복요양원,20,"북구 팔달로 191, 5층 ",053-355-7232
북구,천유원실버타운,198,북구 칠성남로36길 6,053-718-1500
북구,늘봄요양원,46,북구 옥산로17길  47-1 (침산동),053-353-1188
북구,효심노인요양센터,9,북구 공평로 158 (칠성동),053-353-9592
북구,부모사랑요양원,9,북구 칠곡중앙대로91길 28 ,053-326-6349  
북구,한성노인복지센터,9,북구 공평로 158 (칠성동),053-252-8776
북구,엘림실버요양원,9,북구 호국로 229 (서변동),053-942-1119
북구,한솔노인요양센터,9,"북구 호암로 4, 5층(칠성동, 광영빌딩)",053-355-5155               
북구,한솔홈케어,9,"북구 호암로 4, 4층(칠성동, 광영빌딩)",053-355-7744  
북구,상록수재활복지센터1,9,"북구 동천로 125-16, 5층 (동천동, 우리빌딩)",053-324-2522
북구,상록수재활복지센터2,9,"북구 동천로 125-16, 5층 (동천동, 우리빌딩)",053-311-5911
북구,e-햇살복지센터,9,북구 학정로42길 22-21 (구암동),053-313-1136
북구,온사랑요양원,9,"북구 칠곡중앙대로 525, 4층",053-341-9321
북구,호산실버타운,9,북구 칠곡중앙대로91길 20 ,053-322-0100
북구,온사랑요양원2,9,"북구 칠곡중앙대로 525, 4층",053-341-9321
북구,가람요양복지센터1,9,"북구 팔거천동로 210, 7층 (동천동)",053-327-2005
북구,가람요양복지센터2,9,"북구 팔거천동로 210, 7층 (동천동)",053-314-3351
북구,강산노인요양센터,9,북구 대현로 69-1 (대현동),053-944-6301
북구,효신노인요양센터,9,북구 호국로 51길 5 (서변동),053-939-4567
북구,효신노인복지센터,9,북구 호국로 51길 5 (서변동),053-939-4567
북구,선우실버홈,9,"북구 동북로 277, 5층 (복현동)",053-939-5200
북구,해뜨는요양원1,9,"북구 공항로 10-7, 4층 (복현동)",053-958-5400
북구,해뜨는요양원2,9,"북구 공항로 10-7, 4층 (복현동)",053-958-5400
북구,한아름노인복지센터,9,북구 검단로 49길 21-14 (검단동),053-384-4874
북구,해뜨는요양원4,9,"북구 공항로 10-7, 5층 (복현동)",053-958-5400
북구,해뜨는요양원3,9,"북구 공항로 10-7, 5층 (복현동)",053-958-5400
북구,나비복현요양센터,9,"북구 복현로 71, 112/404(복현동, 복현블루밍브라운스톤 명문세가아파트상가)",053-943-8785
북구,서변실버요양원,9,"북구 호국로 207, 6층 ",053-951-8898
북구,선우요양복지센터,9,"북구 동북로266, 2층",053-953-9977
북구,뉴대구케어요양복지센터,9,"북구 침산남로 176, 4층 (침산동)",053-335-0361
북구,하나복지센터,9,"북구 호국로 223, 2층 (서변동)",053-325-6311
북구,예가노인복지센터2,9,"북구 칠곡중앙대로 217, 2층",053-321-5804
북구,예가노인복지센터,9,"북구 칠곡중앙대로 217, 2층",053-321-5804
북구,청춘주간보호센터,9,"북구 원대로 76, 3층 (고성동)",053-744-9988
북구,미래효요양원,9,"북구 칠곡중앙대로 254, 3층",053-314-0006
북구,미래효요양원2,9,"북구 칠곡중앙대로 254, 3층",053-314-0006
북구,중안노인복지센터,9,북구 관음중앙로 167 (읍내동),053-561-2100
수성구,화성전문요양원,134,수성구 신천동로 75,053-767-1189
수성구,마야소규모노인종합센터,20,수성구 공경로 53,053-744-3638
수성구,성림노인요양원,70, 수성구 성동로74-16,053-795-9595
수성구,천주성삼요양원,50,수성구 신매로 19길 70-1,053-795-9004
수성구,효산노인요양원,25,수성구 동대구로 245번지,053-765-5114
수성구,동대구요양원,29,수성구만촌로 93,053-746-0746
수성구,미스바요양센터,9,수성구 화랑로 22(구세빌딩 2층),053-219-8601 
수성구,아름다운한방요양원,9,"수성구 청수로284(5층, 황금동)",053-763-2323
수성구,다사랑실버케어홈,6,수성구 동대구로80길73-1(범어동),053-744-2619
수성구,선우실버홈,9,수성구 화랑로2길 142 ,053-742-9888
수성구,삼보요양원,9,"수성구 청호로 92길 35( 힐튼빌라 101호, 범어동)",053-746-3535
수성구,해오름요양원,44,수성구 파동로51길 96(파동),053-766-5767
수성구,수성요양복지센터,6,수성구 무열로67(만촌동),053-754-3800
수성구,어르신노인요양시설,9,"수성구 용학로 25길6,4층(두산동)",053-792-5489
수성구,큰마음노인공동생활가정,9,"수성구 지범로 161,용지빌딩 8층(지산동)",053-951-7124
수성구,초심노인요양공동생활가정,9,수성구 용학로 294,053-784-6888
수성구,초심노인요양공동생활가정2,9,수성구 용학로 294,053-782-6661
수성구,들안길노인요양센터,9,수성구 들안로9길 27,053-764-5588
수성구,내부모요양돌봄타운,28,수성구지범로27길23,053-755-2629
수성구,드림실버요양복지센터,9,수성구 용학로 248,053-783-8090
수성구,드림실버요양복지센터 2관,9,수성구 용학로 248,053-782-8091
달서구,대구샘노인요양센터,99,대구 달서구 진천로3길 80,053-631-1220
달서구,송현노인요양원,49,달서구 월배로80길 96-11,053-652-6014
달서구,상록수 실버타운,83,대구시 달서구 문화회관3길 25,053-716-6123
달서구,시온요양원,95,대구달서구달구벌대로 1750 6층,053-606-1666
달서구,성당노인종합센터,16,달서구 대명천로10길 3,053-628-9911
달서구,대구예수마을노인요양원,79,달서구 두류공원로 28길 31,053-653-7001
달서구,경북실버타운,63,대구 달서구 조암남로 14길19,053-637-5555
달서구,대경실버타운2,80,학산로50길51,053-638-8998
달서구,성서요양원,17,대구광역시 달서구 달구벌대로264안길 17,053-582-5414
달서구,성당효요양원,29,성당로195,053-628-9771
달서구,대운실버타운,18,달서구 중흥로16길 65,053-655-8880
달서구,가나원요양원1,9,달구벌대로 1852,053-523-2300
달서구,가나원요양원2(휴업),9,"달구벌대로 1852, 2층",053-622-7500
달서구,가림노인요양센터,9,월배로 163,053-637-2351 
달서구,굿모닝효노인공동생활가정,9,대구시 달서구 월곡로 221-17,053-351-0775
달서구,그린종합복지센터,9,달서구야외음악당로32,053-655-8890
달서구,다원노인요양센터,8,"대구광역시 달서구 달구벌대로 1659(감삼동, 빌딩플러스 5층)",053-561-6090
달서구,다은실버타운,9,달서구월곡로184202호,053-643-8216
달서구,도원노인복지센터,9,"달서구월곡로 35길 82, 2층 (상인동)",053-290-5004
달서구,마음다해요양타운1,9,"상화로33,4층",053-641-4033 
달서구,마음다해요양타운2,9,"상화로33,4층",053-641-4033
달서구,사랑실버홈공동생활가정,9,"대구시 달서구 월곡로 145, 5층",053-638-3226
달서구,성서마음다해요양타운,9,"달서구 성성로 72안길 5, 1층",053-583-4033
달서구,성심사랑마을(1),9,대구 달서구 월배로 24길 88 (진천동) 5층,053-623-5133
달서구,성심사랑마을(2),9,대구 달서구 월배로 24길 88,053-623-5133
달서구,성심사랑마을(3),9,대구 달서구 월배로 24길 88 (진천동) 5층,053-623-5133
달서구,성심사랑마을(4),9,대구 달서구 월배로 24길 88 2층 ,053-623-5135
달서구,소망실버홈공동생활가정,9,"대구시 달서구 월곡로 145, 4층",053-637-3227
달서구,신세계실버타운1,9,"달서구 상화로33, 4층",053-629-2003
달서구,신세계실버타운2,9,"달서구 상화로33, 3층",053-657-1003
달서구,신세계실버홈,9,대구시 달서구 도원로5 선진빌딩 2층,053-632-0770
달서구,은혜실버홈,9,달서구 월곡로 145 2층,053-621-3233
달서구,조은요양공동생활가정,9,"달서구 당산로110, 4층",053-566-1190
달서구,한독요양원1,9,"대구달서구 명덕로 10, 2층",053-655-3363
달서구,한독요양원2,9,"대구달서구 명덕로 10, 3층",053-655-3363
달서구,효성공동생활가정,9,달서구명천로10길1-15,053-634-0775
달서구,예다함1노인요양센터,9,대구 달서구성당로 191,053-621-9797
달서구,예다함2노인요양센터,9,대구 달서구성당로 191,053-621-9797
달서구,예다함3노인요양센터,9,대구 달서구성당로 191,053-621-9797
달서구,종려요양공동생활가정,9,달서구 성서동로65길 5,053-526-6516
달성,신애요양원,81,"달성군, 가창면 가창로 1025",053-768-3180
달성,소망요양원,81,"달성군,가창면 가창로 1025",053-761-5225
달성,연광시니어타운,85,"달성군,하빈면 기곡길 209",053-584-0085
달성,늘푸른실버타운,86,"달성군,화원읍 명천로 331",053-644-9988
달성,비슬원,27,"달성군,화원읍 성화로 40",053-643-1166
달성,에덴동산,60,"달성군,논공읍 노이4길 28",053-617-7117
달성,아름다운요양원,9,달성군 화원읍 명천로 331-1,053-631-9987
달성,대구가톨릭치매센타,199,"달성군, 논공읍 논공로 210",053-616-2141
달성,한패밀리요양원,86,"달성군, 가창면 가창로 175",053-766-4100
달성,행복한효경,16,"달성군, 현풍면 현풍동로 27길25",053-611-3777
달성,대구보훈요양원,206,"달성군, 하빈면 하산리 420",053-606-3000
달성,대한노인복지센터,9,"달성군, 다사읍 달구벌대로 864",053-591-6668
달성,베델행복한집,9,"달성군, 화원읍 명천로31길23-10",053-639-1339
달성,하늘과땅노인복지센터,9,"달성군, 옥포면 신당2길 10",053-611-7070
달성,마실노인복지센터,9,"달성군, 현풍면 비슬로121길16",053-611-8384
달성,나오미노인센터,9,"달성군, 하빈면 달구벌대로 35길26-7",053-591-2800
달성,솔비효요양원,9,"달성군, 옥포면 송촌길 241",053-614-0675
달성,사랑마을실버타운,9,"달성군, 옥포면 용연사길  96",053-614-7718
달성,대한실버타운1,9,"달성군, 다사읍 달구벌대로 864",053-591-6668
달성,나오미행복한집,9,"달성군, 하빈면 달구벌대로 35길 26-5",053-591-2803
달성,효자실버타운A,9,"달성군,화원읍 사문진로 447",053-638-0062
달성,효자실버타운B,9,"달성군,화원읍 사문진로 447",053-639-0061
달성,다사효실버타운,8,달성군 다사읍 달구벌대로92길 18,053-588-2166
달성,하빈천사의집,5,달성군 하빈면 하빈로52길20-25,053-582-0501
달성,마음다해실버타운,29,"달성군, 논공읍 금강로10길 6-8",053-617-0900
달성,다사랑요양원,48,"달성군, 가창면 가창로 1049",053-767-2619
달성,성심힐링노인요양원,49,달성군 다사읍 세천로10길 36-5,053-583-1155
달성,서재요양원,28,달성군 다사읍 서재로31길 6,053-587-4241
달성,더나은요양원,29,달성군 가창면 가창로10길 10,053-767-7100
